number,iteration,fitness_function,use_constraint,constraint_handling_method,constraint,particle_speed_limit,population_size,personal_confidence,swarm_confidence,particle_inertia,constraint_r,fitness,optimum,iterations,optimum_reached,iterations_to_opt
120002,2,Schwefel function,false,,,10,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,7
120003,2,Schwefel function,false,,,19,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,10
10001,3,Shubert function,false,,,2,5,0.8,1.6,0.3,-0.15,0.6871362303385065,1.0,500,false,44
10002,3,Shubert function,false,,,10,5,0.8,1.6,0.3,-0.15,0.7490928294764028,1.0,500,false,11
10003,3,Shubert function,false,,,19,5,0.8,1.6,0.3,-0.15,0.7490928294764028,1.0,500,false,10
20001,3,Booth's function,false,,,2,5,0.8,1.6,0.3,-0.15,0.9995247605113363,1.0,500,false,57
20002,3,Booth's function,false,,,10,5,0.8,1.6,0.3,-0.15,0.9999572818437156,1.0,500,false,14
20003,3,Booth's function,false,,,19,5,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,8
30001,3,Schwefel function,false,,,2,5,0.8,1.6,0.3,-0.15,0.7517211636208391,1.0,500,false,116
30002,3,Schwefel function,false,,,10,5,0.8,1.6,0.3,-0.15,0.7494989950937578,1.0,500,false,44
30003,3,Schwefel function,false,,,19,5,0.8,1.6,0.3,-0.15,0.7534541468186041,1.0,500,false,28
40001,3,Shubert function,false,,,2,10,0.8,1.6,0.3,-0.15,0.7472445372440465,1.0,500,false,212
40002,3,Shubert function,false,,,10,10,0.8,1.6,0.3,-0.15,0.7472445372440465,1.0,500,false,7
40003,3,Shubert function,false,,,19,10,0.8,1.6,0.3,-0.15,0.7472681705765748,1.0,500,false,8
50001,3,Booth's function,false,,,2,10,0.8,1.6,0.3,-0.15,0.9999572818437156,1.0,500,false,10
50002,3,Booth's function,false,,,10,10,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,3
50003,3,Booth's function,false,,,19,10,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,8
60001,3,Schwefel function,false,,,2,10,0.8,1.6,0.3,-0.15,0.977285105758694,1.0,500,false,474
60002,3,Schwefel function,false,,,10,10,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,80
